id,source,origin,destination,travel_date,advance_purchase_days,base_fare,taxes_fees,fare_total,scraped_at,status
1,EaseMyTrip,DEL,BOM,2026-08-02,1,5651.88,1594.12,7246.0,2026-08-01 08:15:00,SIMULATED_BACKTEST
2,EaseMyTrip,DEL,BOM,2026-08-08,7,4451.46,1255.54,5707.0,2026-08-01 08:15:00,SIMULATED_BACKTEST
3,EaseMyTrip,DEL,BOM,2026-08-16,15,3731.52,1052.48,4784.0,2026-08-01 08:15:00,SIMULATED_BACKTEST
4,EaseMyTrip,DEL,BOM,2026-08-31,30,3304.86,932.14,4237.0,2026-08-01 08:15:00,SIMULATED_BACKTEST
5,EaseMyTrip,DEL,BOM,2026-09-15,45,3070.86,866.14,3937.0,2026-08-01 08:15:00,SIMULATED_BACKTEST
6,EaseMyTrip,BLR,DEL,2026-08-02,1,6537.96,1844.04,8382.0,2026-08-01 08:15:00,SIMULATED_BACKTEST
7,EaseMyTrip,BLR,DEL,2026-08-08,7,5158.61,1454.99,6613.6,2026-08-01 08:15:00,SIMULATED_BACKTEST
8,EaseMyTrip,BLR,DEL,2026-08-16,15,4372.68,1233.32,5606.0,2026-08-01 08:15:00,SIMULATED_BACKTEST
9,EaseMyTrip,BLR,DEL,2026-08-31,30,3878.63,1093.97,4972.6,2026-08-01 08:15:00,SIMULATED_BACKTEST
10,EaseMyTrip,BLR,DEL,2026-09-15,45,3519.36,992.64,4512.0,2026-08-01 08:15:00,SIMULATED_BACKTEST
11,EaseMyTrip,BLR,BOM,2026-08-02,1,4042.74,1140.26,5183.0,2026-08-01 08:15:00,SIMULATED_BACKTEST
12,EaseMyTrip,BLR,BOM,2026-08-08,7,3154.32,889.68,4044.0,2026-08-01 08:15:00,SIMULATED_BACKTEST
13,EaseMyTrip,BLR,BOM,2026-08-16,15,2650.44,747.56,3398.0,2026-08-01 08:15:00,SIMULATED_BACKTEST
14,EaseMyTrip,BLR,BOM,2026-08-31,30,2377.44,670.56,3048.0,2026-08-01 08:15:00,SIMULATED_BACKTEST
15,EaseMyTrip,BLR,BOM,2026-09-15,45,2102.88,593.12,2696.0,2026-08-01 08:15:00,SIMULATED_BACKTEST
16,EaseMyTrip,DEL,HYD,2026-08-02,1,4775.16,1346.84,6122.0,2026-08-01 08:15:00,SIMULATED_BACKTEST
17,EaseMyTrip,DEL,HYD,2026-08-08,7,3828.71,1079.89,4908.6,2026-08-01 08:15:00,SIMULATED_BACKTEST
18,EaseMyTrip,DEL,HYD,2026-08-16,15,3253.38,917.62,4171.0,2026-08-01 08:15:00,SIMULATED_BACKTEST
19,EaseMyTrip,DEL,HYD,2026-08-31,30,2853.71,804.89,3658.6,2026-08-01 08:15:00,SIMULATED_BACKTEST
20,EaseMyTrip,DEL,HYD,2026-09-15,45,2549.82,719.18,3269.0,2026-08-01 08:15:00,SIMULATED_BACKTEST
21,EaseMyTrip,DEL,PNQ,2026-08-02,1,4564.56,1287.44,5852.0,2026-08-01 08:15:00,SIMULATED_BACKTEST
22,EaseMyTrip,DEL,PNQ,2026-08-08,7,3535.9,997.3,4533.2,2026-08-01 08:15:00,SIMULATED_BACKTEST
23,EaseMyTrip,DEL,PNQ,2026-08-16,15,3024.84,853.16,3878.0,2026-08-01 08:15:00,SIMULATED_BACKTEST
24,EaseMyTrip,DEL,PNQ,2026-08-31,30,2713.0,765.2,3478.2,2026-08-01 08:15:00,SIMULATED_BACKTEST
25,EaseMyTrip,DEL,PNQ,2026-09-15,45,2476.5,698.5,3175.0,2026-08-01 08:15:00,SIMULATED_BACKTEST
