id,source,origin,destination,travel_date,advance_purchase_days,base_fare,taxes_fees,fare_total,scraped_at,status
1,EaseMyTrip,DEL,BOM,2026-08-02,1,5677.62,1601.38,7279.0,2026-08-01 08:15:00,SIMULATED_BACKTEST
2,EaseMyTrip,DEL,BOM,2026-08-08,7,4495.14,1267.86,5763.0,2026-08-01 08:15:00,SIMULATED_BACKTEST
3,EaseMyTrip,DEL,BOM,2026-08-16,15,3767.4,1062.6,4830.0,2026-08-01 08:15:00,SIMULATED_BACKTEST
4,EaseMyTrip,DEL,BOM,2026-08-31,30,3289.26,927.74,4217.0,2026-08-01 08:15:00,SIMULATED_BACKTEST
5,EaseMyTrip,DEL,BOM,2026-09-15,45,3039.66,857.34,3897.0,2026-08-01 08:15:00,SIMULATED_BACKTEST
6,EaseMyTrip,BLR,DEL,2026-08-02,1,6536.4,1843.6,8380.0,2026-08-01 08:15:00,SIMULATED_BACKTEST
7,EaseMyTrip,BLR,DEL,2026-08-08,7,5152.37,1453.23,6605.6,2026-08-01 08:15:00,SIMULATED_BACKTEST
8,EaseMyTrip,BLR,DEL,2026-08-16,15,4335.24,1222.76,5558.0,2026-08-01 08:15:00,SIMULATED_BACKTEST
9,EaseMyTrip,BLR,DEL,2026-08-31,30,3901.25,1100.35,5001.6,2026-08-01 08:15:00,SIMULATED_BACKTEST
10,EaseMyTrip,BLR,DEL,2026-09-15,45,3493.62,985.38,4479.0,2026-08-01 08:15:00,SIMULATED_BACKTEST
11,EaseMyTrip,BLR,BOM,2026-08-02,1,4035.72,1138.28,5174.0,2026-08-01 08:15:00,SIMULATED_BACKTEST
12,EaseMyTrip,BLR,BOM,2026-08-08,7,3205.8,904.2,4110.0,2026-08-01 08:15:00,SIMULATED_BACKTEST
13,EaseMyTrip,BLR,BOM,2026-08-16,15,2695.68,760.32,3456.0,2026-08-01 08:15:00,SIMULATED_BACKTEST
14,EaseMyTrip,BLR,BOM,2026-08-31,30,2371.98,669.02,3041.0,2026-08-01 08:15:00,SIMULATED_BACKTEST
15,EaseMyTrip,BLR,BOM,2026-09-15,45,2113.8,596.2,2710.0,2026-08-01 08:15:00,SIMULATED_BACKTEST
16,EaseMyTrip,DEL,HYD,2026-08-02,1,4844.58,1366.42,6211.0,2026-08-01 08:15:00,SIMULATED_BACKTEST
17,EaseMyTrip,DEL,HYD,2026-08-08,7,3822.47,1078.13,4900.6,2026-08-01 08:15:00,SIMULATED_BACKTEST
18,EaseMyTrip,DEL,HYD,2026-08-16,15,3182.4,897.6,4080.0,2026-08-01 08:15:00,SIMULATED_BACKTEST
19,EaseMyTrip,DEL,HYD,2026-08-31,30,2816.27,794.33,3610.6,2026-08-01 08:15:00,SIMULATED_BACKTEST
20,EaseMyTrip,DEL,HYD,2026-09-15,45,2547.48,718.52,3266.0,2026-08-01 08:15:00,SIMULATED_BACKTEST
21,EaseMyTrip,DEL,PNQ,2026-08-02,1,4575.48,1290.52,5866.0,2026-08-01 08:15:00,SIMULATED_BACKTEST
22,EaseMyTrip,DEL,PNQ,2026-08-08,7,3559.3,1003.9,4563.2,2026-08-01 08:15:00,SIMULATED_BACKTEST
23,EaseMyTrip,DEL,PNQ,2026-08-16,15,3081.78,869.22,3951.0,2026-08-01 08:15:00,SIMULATED_BACKTEST
24,EaseMyTrip,DEL,PNQ,2026-08-31,30,2663.08,751.12,3414.2,2026-08-01 08:15:00,SIMULATED_BACKTEST
25,EaseMyTrip,DEL,PNQ,2026-09-15,45,2407.86,679.14,3087.0,2026-08-01 08:15:00,SIMULATED_BACKTEST
26,EaseMyTrip,DEL,CCU,2026-08-02,1,5796.96,1635.04,7432.0,2026-08-01 08:15:00,SIMULATED_BACKTEST
27,EaseMyTrip,DEL,CCU,2026-08-08,7,4621.81,1303.59,5925.4,2026-08-01 08:15:00,SIMULATED_BACKTEST
28,EaseMyTrip,DEL,CCU,2026-08-16,15,3896.1,1098.9,4995.0,2026-08-01 08:15:00,SIMULATED_BACKTEST
29,EaseMyTrip,DEL,CCU,2026-08-31,30,3452.59,973.81,4426.4,2026-08-01 08:15:00,SIMULATED_BACKTEST
30,EaseMyTrip,DEL,CCU,2026-09-15,45,3116.1,878.9,3995.0,2026-08-01 08:15:00,SIMULATED_BACKTEST
31,EaseMyTrip,DEL,BOM,2026-08-03,1,5708.2,1610.0,7318.2,2026-08-02 09:18:00,SIMULATED_BACKTEST
32,EaseMyTrip,DEL,BOM,2026-08-09,7,4552.69,1284.09,5836.78,2026-08-02 09:18:00,SIMULATED_BACKTEST
33,EaseMyTrip,DEL,BOM,2026-08-17,15,3839.78,1083.02,4922.8,2026-08-02 09:18:00,SIMULATED_BACKTEST
34,EaseMyTrip,DEL,BOM,2026-09-01,30,3349.43,944.71,4294.14,2026-08-02 09:18:00,SIMULATED_BACKTEST
35,EaseMyTrip,DEL,BOM,2026-09-16,45,3029.55,854.49,3884.04,2026-08-02 09:18:00,SIMULATED_BACKTEST
36,EaseMyTrip,BLR,DEL,2026-08-03,1,6584.32,1857.12,8441.44,2026-08-02 09:18:00,SIMULATED_BACKTEST
37,EaseMyTrip,BLR,DEL,2026-08-09,7,5257.71,1482.94,6740.65,2026-08-02 09:18:00,SIMULATED_BACKTEST
38,EaseMyTrip,BLR,DEL,2026-08-17,15,4439.73,1252.23,5691.96,2026-08-02 09:18:00,SIMULATED_BACKTEST
39,EaseMyTrip,BLR,DEL,2026-09-01,30,3894.66,1098.5,4993.16,2026-08-02 09:18:00,SIMULATED_BACKTEST
40,EaseMyTrip,BLR,DEL,2026-09-16,45,3553.66,1002.31,4555.97,2026-08-02 09:18:00,SIMULATED_BACKTEST
41,EaseMyTrip,BLR,BOM,2026-08-03,1,4101.55,1156.85,5258.4,2026-08-02 09:18:00,SIMULATED_BACKTEST
42,EaseMyTrip,BLR,BOM,2026-08-09,7,3191.42,900.15,4091.57,2026-08-02 09:18:00,SIMULATED_BACKTEST
43,EaseMyTrip,BLR,BOM,2026-08-17,15,2728.91,769.69,3498.6,2026-08-02 09:18:00,SIMULATED_BACKTEST
44,EaseMyTrip,BLR,BOM,2026-09-01,30,2347.25,662.04,3009.29,2026-08-02 09:18:00,SIMULATED_BACKTEST
45,EaseMyTrip,BLR,BOM,2026-09-16,45,2190.3,617.78,2808.08,2026-08-02 09:18:00,SIMULATED_BACKTEST
46,EaseMyTrip,DEL,HYD,2026-08-03,1,4832.44,1363.0,6195.44,2026-08-02 09:18:00,SIMULATED_BACKTEST
47,EaseMyTrip,DEL,HYD,2026-08-09,7,3820.82,1077.67,4898.49,2026-08-02 09:18:00,SIMULATED_BACKTEST
48,EaseMyTrip,DEL,HYD,2026-08-17,15,3241.65,914.31,4155.96,2026-08-02 09:18:00,SIMULATED_BACKTEST
49,EaseMyTrip,DEL,HYD,2026-09-01,30,2887.25,814.35,3701.6,2026-08-02 09:18:00,SIMULATED_BACKTEST
50,EaseMyTrip,DEL,HYD,2026-09-16,45,2561.03,722.34,3283.37,2026-08-02 09:18:00,SIMULATED_BACKTEST
51,EaseMyTrip,DEL,PNQ,2026-08-03,1,4620.47,1303.21,5923.68,2026-08-02 09:18:00,SIMULATED_BACKTEST
52,EaseMyTrip,DEL,PNQ,2026-08-09,7,3565.32,1005.6,4570.92,2026-08-02 09:18:00,SIMULATED_BACKTEST
